ts_unix,elapsed_s,cpu_pct,mem_used_gb,mem_total_gb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,trainer_pid,trainer_rss_mb,trainer_cpu_pct,gen_alive,gen_rss_mb,gen_cpu_pct,train_tasks
1770848420,3104,42.31,46.57,503.37,98,3,9234,40960,243.64,37,,,,0,,,
1770848450,3134,44.44,47.16,503.37,98,11,9256,40960,186.63,37,,,,0,,,
1770848481,3165,41.91,47.48,503.37,97,21,9256,40960,184.03,37,,,,0,,,
1770848511,3195,36.89,47.75,503.37,3,0,9269,40960,106.58,32,,,,0,,,
1770848541,3225,43.36,48.09,503.37,97,15,9285,40960,195.12,36,,,,0,,,
1770848571,3255,42.21,48.38,503.37,98,4,9285,40960,188.11,35,,,,0,,,
1770848601,3285,42.74,48.58,503.37,93,20,9285,40960,187.50,35,,,,0,,,
1770848631,3315,38.21,48.51,503.37,98,15,9315,40960,178.15,34,,,,0,,,4478
1770848661,3345,35.13,47.42,503.37,71,1,8941,40960,193.65,31,,,,0,,,
1770848692,3376,46.23,43.12,503.37,98,7,7998,40960,161.26,33,,,,0,,,
1770848722,3406,46.43,43.38,503.37,97,12,8067,40960,178.48,34,,,,0,,,
1770848752,3436,43.15,43.70,503.37,96,21,8130,40960,180.49,34,,,,0,,,
1770848782,3466,38.21,43.66,503.37,97,13,8165,40960,203.86,34,,,,0,,,
1770848812,3496,37.56,43.91,503.37,16,0,8191,40960,106.30,30,,,,0,,,
1770848842,3526,41.43,43.37,503.37,93,2,8235,40960,182.83,34,,,,0,,,
1770848872,3556,41.55,43.41,503.37,97,21,8289,40960,191.63,36,,,,0,,,
1770848902,3586,44.37,44.07,503.37,77,10,8358,40960,211.80,36,,,,0,,,
1770848932,3616,41.72,44.14,503.37,97,21,8374,40960,181.96,37,,,,0,,,4478
1770848963,3647,35.72,44.62,503.37,14,0,8444,40960,110.11,32,,,,0,,,
1770848993,3677,43.36,44.81,503.37,100,2,8455,40960,181.96,37,,,,0,,,
1770849023,3707,42.45,44.55,503.37,97,9,8485,40960,180.49,37,,,,0,,,
1770849053,3737,42.45,44.77,503.37,98,4,8509,40960,226.10,36,,,,0,,,
1770849083,3767,38.04,44.38,503.37,99,4,8571,40960,228.70,36,,,,0,,,
1770849113,3797,35.10,45.48,503.37,48,0,8601,40960,107.77,30,,,,0,,,
1770849143,3827,47.94,45.51,503.37,97,21,8630,40960,170.87,34,,,,0,,,
1770849174,3858,45.67,45.34,503.37,99,20,8657,40960,149.57,33,,,,0,,,
1770849204,3888,42.67,45.36,503.37,98,8,8698,40960,142.83,33,,,,0,,,
1770849234,3918,38.17,45.69,503.37,98,15,8723,40960,180.22,34,,,,0,,,4478
1770849264,3948,35.31,47.28,503.37,40,0,8783,40960,108.76,29,,,,0,,,
1770849294,3978,43.51,45.87,503.37,96,19,8783,40960,181.69,34,,,,0,,,
1770849324,4008,42.59,45.39,503.37,100,2,8814,40960,209.46,35,,,,0,,,
1770849354,4038,45.13,46.18,503.37,98,9,8829,40960,185.50,35,,,,0,,,
1770849384,4068,43.10,46.15,503.37,97,5,8846,40960,246.85,36,,,,0,,,
1770849414,4098,34.85,48.73,503.37,48,0,8846,40960,109.95,32,,,,0,,,
1770849444,4128,43.33,46.29,503.37,90,21,8901,40960,184.62,37,,,,0,,,
1770849475,4159,42.37,46.31,503.37,93,15,8917,40960,183.43,37,,,,0,,,
1770849505,4189,43.03,46.36,503.37,92,21,8917,40960,178.15,37,,,,0,,,
1770849535,4219,38.78,46.16,503.37,97,7,8917,40960,246.25,37,,,,0,,,4478
1770849565,4249,35.92,49.85,503.37,24,0,8961,40960,109.03,32,,,,0,,,
1770849595,4279,47.31,47.41,503.37,97,19,8994,40960,181.69,35,,,,0,,,
1770849625,4309,44.78,46.71,503.37,97,9,8998,40960,182.29,35,,,,0,,,
1770849655,4339,41.67,46.91,503.37,97,21,8998,40960,184.89,34,,,,0,,,
1770849685,4369,38.66,46.85,503.37,100,5,9047,40960,177.47,34,,,,0,,,
1770849716,4400,34.69,49.70,503.37,39,0,9065,40960,107.77,29,,,,0,,,
1770849746,4430,42.46,47.03,503.37,99,3,9087,40960,174.08,34,,,,0,,,
1770849776,4460,41.95,46.82,503.37,99,3,9111,40960,159.79,33,,,,0,,,
1770849806,4490,45.10,47.76,503.37,98,7,9146,40960,149.40,34,,,,0,,,
1770849836,4520,43.54,48.00,503.37,96,5,9173,40960,196.31,34,,,,0,,,4478
1770849866,4550,35.04,50.34,503.37,49,0,9173,40960,108.05,31,,,,0,,,
1770849896,4580,42.25,47.94,503.37,96,5,9184,40960,216.47,36,,,,0,,,
1770849926,4610,44.04,48.13,503.37,95,6,9189,40960,168.54,35,,,,0,,,
1770849956,4640,43.96,48.03,503.37,99,3,9196,40960,167.94,36,,,,0,,,
1770849987,4671,40.33,48.07,503.37,93,20,9196,40960,176.33,37,,,,0,,,
1770850017,4701,35.95,49.36,503.37,56,0,9211,40960,109.35,32,,,,0,,,
1770850047,4731,44.36,49.00,503.37,83,3,9233,40960,198.92,38,,,,0,,,
1770850077,4761,44.07,48.00,503.37,98,4,9279,40960,198.92,36,,,,0,,,
1770850107,4791,42.29,48.35,503.37,98,17,9284,40960,180.22,36,,,,0,,,
1770850137,4821,39.66,48.20,503.37,89,20,9294,40960,186.36,36,,,,0,,,4478
1770850167,4851,34.87,48.70,503.37,32,0,9322,40960,108.49,31,,,,0,,,
1770850197,4881,42.04,49.10,503.37,98,8,9362,40960,172.94,34,,,,0,,,
1770850228,4912,42.26,49.11,503.37,96,17,9362,40960,170.60,34,,,,0,,,
1770850258,4942,46.61,49.41,503.37,96,8,9399,40960,230.17,34,,,,0,,,
1770850288,4972,44.01,47.40,503.37,99,4,9044,40960,173.81,33,,,,0,,,
1770850318,5002,39.02,47.99,503.37,50,0,9048,40960,107.50,29,,,,0,,,
1770850348,5032,43.45,44.60,503.37,94,20,9073,40960,189.29,34,,,,0,,,
1770850378,5062,39.51,44.42,503.37,96,21,9077,40960,154.07,34,,,,0,,,
1770850408,5092,38.96,43.04,503.37,99,9,8785,40960,181.42,35,,,,0,,,
1770850438,5122,37.36,43.37,503.37,99,15,8808,40960,161.53,34,,,,0,,,4478
1770850468,5152,31.24,41.56,503.37,54,1,8389,40960,108.49,31,,,,0,,,
1770850498,5182,38.03,40.32,503.37,94,21,8139,40960,228.70,36,,,,0,,,
1770850529,5213,39.18,40.72,503.37,96,21,8265,40960,181.96,36,,,,0,,,
1770850559,5243,39.53,41.00,503.37,97,10,8298,40960,213.81,36,,,,0,,,
1770850589,5273,37.63,41.01,503.37,98,20,8351,40960,183.75,36,,,,0,,,
1770850619,5303,31.63,41.27,503.37,20,0,8416,40960,104.84,32,,,,0,,,
1770850649,5333,37.56,41.62,503.37,98,7,8430,40960,173.81,36,,,,0,,,
1770850679,5363,39.54,41.64,503.37,98,5,8460,40960,250.93,36,,,,0,,,
1770850709,5393,39.52,41.19,503.37,98,4,8460,40960,169.14,35,,,,0,,,
1770850739,5423,37.69,41.29,503.37,98,6,8471,40960,164.13,34,,,,0,,,4478
1770850770,5454,32.26,41.99,503.37,49,0,8479,40960,106.69,30,,,,0,,,
1770850800,5484,42.42,44.21,503.37,98,13,8516,40960,181.69,34,,,,0,,,
1770850830,5514,43.77,44.33,503.37,90,15,8516,40960,191.63,34,,,,0,,,
1770850860,5544,44.04,44.51,503.37,95,21,8549,40960,187.83,34,,,,0,,,
1770850890,5574,44.28,45.05,503.37,97,21,8568,40960,175.54,34,,,,0,,,
1770850920,5604,39.16,45.18,503.37,39,1,8586,40960,109.03,30,,,,0,,,
1770850950,5634,42.67,44.81,503.37,94,9,8604,40960,220.22,34,,,,0,,,
1770850980,5664,43.51,44.66,503.37,98,19,8619,40960,174.68,35,,,,0,,,
1770851010,5694,44.16,44.91,503.37,88,17,8622,40960,174.95,35,,,,0,,,
